PROMSHR,PROMPLEDG,FORPROM,Market.Capitalisation,EPS,P.E,P.B,BVS,Beta,TA,Alpha,PBDITAINC,PBTINC,PATINC,CASHPRFINC,PBDITAMARG,OPMARG,OPRFINCOS,PBPTEQ,ROE,RONW,CASHROE,PBPTCE,ROCE,PATCE,PBPTTA,ROTA,PATTA,QR,CR,DE,CASHCL,CASHCOS,TURNOVER,NAT,PVT,FORGN,OTHERS,Target
69.15,25.79,52.06,16916.46,99.04,4.02,0.83,478.95,0.97,121510.2,0.63,22.9,8.32,6.74,13.65,22.46,22,732.78,20.61,16.52,16.52,33.44,4.51,3.62,3.62,3.99,3.2,3.2,0.16,0.29,3.65,0.06,39.33,47824.4,2,0,0,0,1
69.15,18.78,52.02,71337.53,197.78,8.49,1.8,931.21,1.12,173401.6,0.6,26.48,7.83,5.96,15.31,25.39,25.18,464.31,13.64,10.31,10.31,26.47,2.88,2.17,2.17,2.56,1.93,1.93,0.21,0.34,3.81,0.11,47.83,42171.8,2,0,0,0,1
69.15,25.34,67.21,92981.09,47.22,9.27,1.6,274.43,1.17,252715.4,0.97,28.47,11.8,8.62,16.84,23.64,27.52,918.8,18.63,13.56,13.52,26.42,3.97,2.89,2.88,3.5,2.55,2.54,0.28,0.85,3.61,0.11,38.7,50203.5,2,0,0,0,1
67.76,41.6,52.06,88256.11,44.79,9.28,1.35,307.08,1.17,252715.4,0.97,28.84,11.14,7.31,15.86,30.24,28.57,3317.74,17.76,11.6,11.63,25.25,4.02,2.63,2.64,3.49,2.28,2.28,0.33,0.79,3.28,0.15,51.48,72816.5,2,0,0,0,1
69.98,37.54,67.21,103744.11,41.33,11.08,1.23,371.43,1.24,334677.4,0.62,28.78,9.17,5.98,15.16,27.69,28.48,2441.17,14.91,9.71,9.76,24.72,3.21,2.09,2.1,2.79,1.82,1.82,0.3,0.72,3.96,0.08,30.4,95174.7,2,0,0,0,1
71.22,71.89,56.21,102679.13,2.78,163.09,1.13,399.51,1.33,510850.3,0.47,29.32,8.25,5.61,14.27,29.02,29.03,2095.89,13.03,8.86,8.86,22.56,2.73,1.85,1.85,2.41,1.64,1.64,0.24,0.74,3.64,0.02,7.26,112887,2,0,0,0,1
59.1,67.95,54.21,14927.32,-55.59,15.98,0.19,342.16,0.86,529384,-0.61,19.07,-14.32,-13.17,-8.76,17.24,18.1,-3395.98,-20.99,-19.32,-18.32,-12.19,-3.98,-3.66,-3.47,-3.58,-3.29,-3.12,0.19,0.78,5.03,0.02,4.85,101971.4,2,0,0,0,1
59.04,68.98,0,8131.88,-147.39,15.2,0.36,99.69,0.71,613095,-0.86,14.2,-40.35,-28.19,-30.97,13.49,12.93,-9328.39,-63.32,-45.01,-43.52,-47.82,-8.41,-5.98,-5.78,-7.54,-5.36,-5.18,0.13,0.54,8.85,0.01,5.47,85040.8,2,0,0,0,1
21.56,0.03,0,456859.28,8.52,16.92,5.1,109.29,1.43,167745,0.1,16.61,9.66,7.32,12.64,14.47,14.8,804.11,35.28,25.75,29.72,51.36,10.07,7.35,8.48,8.32,6.07,7.01,0.71,1.31,2.67,0.08,9.53,42020.5,10,3,0,0,0
33.01,0,0,2192410.08,18.98,40.55,0.17,190.3,0.81,809644.8,0.14,19.24,11.79,8.93,14.59,17.22,17.92,1032.12,37.82,28.34,29.84,48.77,9.1,6.82,7.18,7.56,5.66,5.96,0.59,1.25,3.52,0.02,2.43,46727.4,11,3,0,0,0
61.32,14.03,0,758484.26,12.7,15.98,1.19,3.72,0.84,30133.7,-0.12,20.61,10.33,7.76,13.78,20.72,20.34,3509.34,30.61,22.99,23.02,40.87,6.28,4.71,4.72,5.34,4.01,4.02,0.57,1.18,4.16,0.06,9.67,54095.5,11,3,0,0,0
25.72,0,16.72,277329.06,11.77,16.92,3.6,73.44,0.94,447171.9,0.02,25.85,18.81,13.82,19.22,23.24,24.39,1020.2,38.12,27.88,28.07,39.05,8.87,6.49,6.53,7.79,5.7,5.74,0.59,1.38,2.86,0.11,8.04,60030.7,11,3,0,0,0
90,22.72,51.42,2192410.08,7.16,48.47,12.31,28.21,0.39,276867.5,-0.26,27.73,17.99,13.15,18.31,25.48,27.07,2048.15,28.01,20.42,20.47,28.51,7.26,5.29,5.31,6.46,4.71,4.72,0.12,0.62,2.86,0.01,2.05,75762.9,11,3,0,0,0
90,14.03,48.83,2167144.63,12.55,27.33,8.79,39.04,0.99,276867.5,0.31,29.23,12.5,9.34,15.93,28.88,29.05,7736.18,20.44,15.24,15.39,26.23,5.18,3.86,3.9,4.57,3.41,3.44,0.23,0.72,3.02,0.04,13.74,107926.4,11,3,0,0,0
90,0,54.21,1952704.05,13.74,22.5,7.22,42.81,0.56,307229.7,0.44,28.35,10.27,7.69,15.32,28,28.25,8152.59,14.91,11.15,11.18,22.27,3.62,2.71,2.72,3.16,2.36,2.37,0.32,1.06,3.2,0.02,5.05,118000.7,11,3,0,0,0
89.65,0,54.21,1818481.31,23.76,12.12,11.06,26.04,0.79,250523.7,0.06,26.05,0.89,0.58,9.93,25.81,25.86,354.38,1.09,0.7,0.69,11.73,0.24,0.15,0.15,0.21,0.13,0.13,0.22,0.81,3.9,0,2.08,106005.3,11,3,0,0,0
79.65,0,0,2289050.46,21.24,17.06,13.68,26.49,0.89,235122.3,0.07,18.83,-10.68,-10.67,-2.53,19.09,18.74,-15666.96,-14.96,-14.99,-14.93,-3.54,-2.74,-2.74,-2.73,-2.42,-2.42,-2.41,0.28,0.96,5.12,0,2.6,117351.3,11,3,2,0,0
79.65,29.52,0,1844378.4,26.23,11.13,11.49,25.4,0.9,213895.4,-0.03,16.49,-31.77,-25.23,-18.58,15.7,15.78,-6960.94,-84.82,-66.9,-66.72,-49.15,-8.51,-6.71,-6.7,-7.41,-5.85,-5.83,0.06,0.19,22.33,0,0.91,130887.2,11,3,2,0,0
25.18,0,0,122156.11,51.59,14.1,2.91,250.35,0.7,39123.3,-0.04,90.34,79.81,78.96,79.29,26.02,25.58,92.3,23.85,23.46,23.51,23.61,20.78,20.44,20.49,15.38,15.13,15.16,0.87,0.87,0.13,0.8,4166.66,4380.4,9,4,4,0,0
25.14,0,0,99381.68,27.95,21.14,2.07,286.12,0.58,65333,-0.23,87.66,73,69.58,70.51,27.67,26.93,88.46,20.19,19.28,18.86,19.11,18.01,17.19,16.82,13.55,12.94,12.66,1.06,1.06,0.11,0.98,4896.58,4964.7,7,0,4,0,0
26.4,26.67,0,82322.27,33,14.81,1.57,312.17,0.52,77492,-0.05,85.47,76.57,73.04,73.16,7.4,7.53,91.27,25.83,24.88,23.57,23.61,23.16,22.31,21.14,17.54,16.9,16.01,1.43,1.43,0.12,1.24,5434.28,4985.9,15,3,3,0,0
25.77,5.11,0,215581.79,49.32,25.89,3.64,350.3,0.47,90367,0.35,90.33,83.82,79.69,78.22,25.92,26.2,97.5,24.6,23.12,23.9,23.46,22.35,21.01,21.72,17.06,16.04,16.58,1.8,1.8,0.09,1.67,7492.25,6302.6,14,3,3,0,0
25.65,4.84,0,277329.06,50.26,32.6,4.61,355.69,0.44,102673,0.3,90.87,85.37,82.05,80.67,19.36,19.61,97.97,27.45,25.94,26.93,26.48,25.39,23.99,24.91,18.46,17.44,18.11,1.83,1.83,0.08,1.69,8496.33,6497.2,15,1,1,0,0
25.61,0.98,0,298197.3,48.58,36.2,4.44,396.38,0.44,102673,0.3,93.34,88.48,83.8,83.24,17.93,17.48,96.38,45.59,43.12,43.15,42.86,42.49,40.18,40.21,29.18,27.59,27.62,2.16,2.16,0.07,1.98,10320.95,6738,15,1,2,0,0
25.56,0,0,299982.17,65.71,26.88,3.94,447.8,0.41,117536,0.35,93.22,88.73,84.75,84.25,-9.84,-9.81,94.91,51.17,48.82,48.87,48.58,48.17,45.95,46,31.67,30.21,30.24,2.02,2.02,0.06,1.8,10917.91,6369,15,2,4,0,0
25.52,0,0,435614.79,111.21,23.03,4.67,548.41,0.44,167676,0.58,95.26,93.16,90.86,91.06,-22.53,-23.46,97.29,83.52,81.21,81.21,81.4,81.03,78.78,78.79,52.23,50.79,50.79,2.15,2.19,0,1.8,5827.87,6081.9,2,2,4,0,0
25.48,0,0,594195.83,99.27,35.13,5.59,624.13,0.37,191779,0.38,94.84,92.98,91.41,91.55,0.48,0.49,98.22,82.28,80.86,80.67,80.8,82.28,80.86,80.67,56.21,55.24,55.12,2.32,2.38,0,1.81,4387.5,7192.2,3,3,4,0,0
25.58,13.06,0,517777.17,81.02,37.46,4.29,708.02,0.53,175852,0.24,96.36,95.33,94.33,94.58,-137.45,-197.89,96.74,100.45,101.08,101.24,101.5,97.14,97.75,97.9,73.33,73.79,73.91,3.09,3.19,0.07,2.41,4770.78,2150,5,0,4,0,0
59.41,57.69,42.27,25168.88,0.33,6.77,4.88,10.17,1.33,69872.7,0.25,36.73,31.22,26.9,30.35,33.85,34.04,1549.07,39.55,35.33,35.47,40.03,33.27,29.72,29.83,26.97,24.09,24.19,2.64,3.1,0.08,1.37,185.78,41966.9,20,2,0,3,1
52.55,73.31,22.8,10659.61,13.06,16.29,1.96,31.73,1.47,166186.5,0.24,21.52,15.43,12.51,18.48,17.07,17.51,393.25,12.94,10.24,10.35,15.29,11.91,9.42,9.53,9.62,7.61,7.7,1.37,1.78,0.1,0.56,62.59,36154,20,2,0,3,1
34.64,77.45,0,213695.58,-31.02,12.12,1.45,92.74,1.63,32215.3,-0.61,23.27,15.81,12.16,17.99,21.57,21.87,1221.42,16.42,11.04,11.14,16.48,14.8,9.95,10.04,11.58,7.79,7.85,1.4,1.82,0.12,0.25,38.11,45315,20,2,0,3,1
16.49,68.98,0,70044.08,18.14,6.7,0.64,73.44,1.91,38891.7,-0.05,28.31,21.37,16.63,22.04,24.72,25.31,696.61,20.96,14.9,15.14,20.07,18.92,13.46,13.67,13.95,9.92,10.08,1.06,1.43,0.1,0.3,38.05,48826,20,2,0,4,1
34.4,71.43,0,16603.44,-0.03,28.83,0.8,10.17,1.63,66861.4,-0.64,23.66,17.7,15.04,18.18,21.23,21.52,977.48,17.97,14.25,14.97,18.1,15.38,12.2,12.82,11.11,8.81,9.26,0.84,1.16,0.24,0.02,5.1,57779,20,2,0,4,1
34.8,70.62,0,12737.44,-0.39,19.4,0.64,9.81,1.93,66861.4,-0.59,27.21,18.33,13.28,17.13,25.89,26.29,1627.52,19.78,14.24,14.33,18.48,16.03,11.54,11.61,11.44,8.24,8.29,1.02,1.34,0.23,0.24,59.18,67802,20,2,0,4,1
39.64,57.69,0,10671.27,-1.07,14.96,0.56,8.75,1.7,90366.6,-0.11,26.2,20.27,14.63,19.97,23.67,23.95,1432.04,23.98,17.47,17.46,23.84,19.17,13.97,13.96,13.63,9.93,9.92,1.04,1.44,0.27,0.27,51.75,83946,20,2,0,3,1
39.66,99.94,0,8703.21,-1.33,14.1,0.58,6.86,1.18,114010.4,-0.31,31.06,24.48,19.28,23.03,29.02,29.52,1563.59,27.96,22.11,22.59,26.99,21.87,17.29,17.67,15.67,12.39,12.66,1.58,1.99,0.29,0.42,33.4,98100,20,2,0,3,1
45.23,79.53,0,9540.57,-2.56,24.07,0.87,4.54,1.43,133610.2,-0.39,25.64,19.97,16.29,20.73,24.03,24.1,1022.3,20.85,16.95,16.84,21.43,16.16,13.13,13.05,11.58,9.41,9.35,1.68,2.07,0.29,0.64,39.43,100939,20,2,0,3,1
45.23,79.53,0,8070.94,-1.56,24.07,0.9,3.72,1.47,134322.4,-0.23,26.07,15.79,12.94,21.39,23.75,23.82,678.99,17.79,12.17,12.1,19.99,13.97,9.56,9.5,10.99,7.52,7.48,1.71,2.17,0.26,0.8,53.17,102919,20,2,0,4,1
20.25,98.75,0,5895.84,33,9.6,2.13,148.77,0.88,4023.4,2.71,-77.22,52.94,0,11.06,11.9,0,241.11,23.03,12.31,18.83,-2.26,34.23,24.19,33.81,10.02,5.53,3.96,2.53,3.12,0,2.5,2118.66,112887,5,0,0,0,1
24.23,99.46,52.02,13721.2,54.63,10.87,2.94,201.79,1.05,23438.5,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.87,26.87,0.43,26.87,10917.91,3901.2,8,0,0,0,1
58.17,95.99,15.21,10026.97,12.48,5.6,1.14,61.23,0.85,33292.3,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.56,12.56,2.66,12.56,10917.91,32478.4,10,0,0,0,1
59.79,47.32,52.48,39989.92,12.7,17.57,2.74,81.32,1.03,46537.6,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.43,1.48,0.43,846.76,7192.2,12,0,0,0,1
58.92,76.46,22.17,34292.69,13.61,13.85,1.97,95.57,0.94,57629.2,0.47,-41.74,-72.89,-72.89,-60.29,-34.67,-45.3,-2777.27,-0.33,-0.33,-0.33,-0.27,-0.12,-0.12,-0.12,-0.11,-0.11,-0.11,0.1,0.14,1.99,0.09,1347.17,81.9,8,0,0,0,1
59.99,79.07,26,25055.85,9.84,14.01,1.36,101.64,0.94,57629.2,0.47,-66.68,-221.7,-221.76,-186.07,-55.87,-67.49,-35623.81,-7.5,-7.51,-7.51,-6.31,-2.1,-2.1,-2.1,-1.9,-1.9,-1.91,0.07,0.22,3.21,0.07,211.64,671.4,10,0,0,0,1
60.4,87.91,52.48,24437.63,8.9,15.1,1.29,103.84,0.69,64287.9,0.33,-36.3,-151.98,-151.99,-119.93,-34.03,-35.68,-6960.94,-15.02,-14.97,-15.1,-11.91,-3.25,-3.24,-3.26,-2.89,-2.88,-2.9,0.05,0.15,4.08,0.04,109.7,1833,19,1,0,2,1
59.14,88.24,4.35,2427.4,-20.5,17.81,0.17,80.1,0.81,92908.5,-0.61,-3.02,-49.93,-49.93,-38.33,-3.17,-3.46,-11759.77,-17.85,-17.69,-17.7,-13.58,-3.09,-3.07,-3.07,-2.71,-2.69,-2.69,0.17,0.44,5.6,0.16,37.78,5805.6,19,1,0,3,1
66.97,100,0,1661.31,-20.68,7.47,0.2,25.56,0.92,92263.9,-1.3,3.08,-30.46,-30.46,-20.1,2.76,3.04,-11759.77,-55.94,-55.74,-56.32,-37.16,-5.93,-5.91,-5.97,-5.08,-5.07,-5.12,0.11,0.38,14.37,0.08,33.79,20410.3,19,1,0,3,1
66.36,100,0,553.77,-35.11,14.59,1.52,-4.6,0.92,92263.9,-1.3,13.39,-11.57,-11.57,-5.24,3.34,3.41,-1618.43,-81.3,-46.62,-45.67,-20.69,-5.65,-3.24,-3.17,-4.96,-2.84,-2.79,0.07,0.27,12.62,0.01,6.42,28887.6,5,0,0,0,1
87.08,71.43,58.48,42116.01,1.54,24.07,1.01,36.49,1.35,147425.8,0.19,19.82,14.35,10.19,12.83,18.22,18.42,906.08,40.45,29.04,29.03,36.55,15.19,10.91,10.9,13.08,9.39,9.38,1.1,1.8,2.68,0.4,69.15,7630.1,5,0,0,0,1
79.52,61.25,52.55,59042.2,5.49,9.43,1.28,40.39,1.56,161006.8,0.13,21.53,13.65,8.1,11.73,18.79,19.22,477.88,51.12,31.77,30.55,44.27,13.27,8.25,7.93,11.2,6.96,6.69,0.84,1.22,2.96,0.42,130.58,14501.5,12,3,0,0,1
19.54,76.46,0,32387.01,29.88,18.45,0.61,111.7,1.92,320566.6,-0.02,20.37,11.05,8.24,11.06,14.09,15.05,198.04,36.42,26.18,29.61,39.74,11.02,7.93,8.96,8.78,6.32,7.14,0.57,0.99,1.94,0.11,30.41,23046.4,14,3,0,0,1
25.65,25.34,26,13395.34,-0.03,13.85,1.8,99.03,0.81,107411.8,0.41,20.74,11.32,8.01,11.69,16.22,16.79,308.9,29.03,19.48,23.92,34.91,10.39,6.97,8.56,8.49,5.7,7,0.85,1.41,1.71,0.28,57.68,33196.2,15,3,0,0,1
21.56,79.07,0,11466.5,12.11,5.37,0.64,90.38,1.93,66093.3,-0.44,19.81,9.21,6.38,9.55,14.9,15.91,202.17,21.94,15.5,15.45,23.16,8.09,5.71,5.7,6.73,4.75,4.74,0.56,1.29,1.71,0.03,7.22,36909.1,13,4,0,0,1
67.76,90.91,15.29,10026.97,14.3,17.32,2.77,109.78,1.43,161006.8,-0.24,19.44,6.16,3.67,6.89,15.37,16.22,154.74,15.83,9.98,9.12,17.11,5.47,3.45,3.15,4.58,2.89,2.64,0.54,1.29,2.07,0.02,4.63,41973.6,13,4,0,0,1
26.34,79.07,0,12730.45,11.05,17.37,0.7,38.35,1.73,594625.4,0.08,19.68,5.06,3.58,6.41,17,17.31,185.86,11.89,8.96,8.99,16.1,3.69,2.78,2.79,3.13,2.36,2.37,0.63,1.32,2.36,0.01,1.91,45667.9,13,5,0,0,1
74.12,54.14,54.21,24437.63,3.28,17.9,5.21,34.29,1.33,175686.4,-0.3,7.09,-28.66,-18.66,-15.64,9.37,9.15,-790.32,-33,-21.88,-29.5,-24.71,-7.89,-5.23,-7.06,-6.59,-4.37,-5.89,0.99,1.76,4.28,0,1.39,26098.5,13,5,0,0,1
33.7,66.12,0,23264.64,5.92,27.02,0.7,127.1,2.03,198109.7,-0.12,11.91,-37.76,-37.76,-26.38,10.02,9.28,-4096.2,-59.95,-59.53,-57.02,-39.84,-9.03,-8.96,-8.59,-7.46,-7.41,-7.09,1.07,1.78,7.99,0.03,25.53,16881.1,13,5,0,0,1
37.38,0.52,0.06,13321.62,-45.84,36.95,11.49,1038.76,0.9,48261.4,-0.01,-30.15,-107.75,-107.75,-91.77,-32.35,-31.2,-19595.39,-687.56,-686.31,-686.06,-584.32,-17.68,-17.65,-17.64,-14.62,-14.59,-14.59,0.78,1.28,50.46,0.02,18.66,12110.2,20,3,5,0,1
21.56,0.52,0.12,303228.49,33.21,28.58,4.97,191.11,0.45,735868.7,0.24,22.74,7.47,4.76,13.6,19.66,21.57,528.19,23.03,14.17,14.43,41.24,6.19,3.81,3.88,4.52,2.78,2.83,0.2,0.65,1.7,0.03,6.89,90045.3,9,2,1,0,0
23.26,6.21,5.1,467833.73,44.85,29.43,4.07,324.38,0.78,1332510.1,0.16,20.1,6.72,3.55,12.09,19.55,19.27,578.38,18.75,10.12,9.73,33.12,7.41,4,3.84,5.25,2.83,2.72,0.15,0.59,1.37,0.02,3.64,119179.9,8,4,2,0,0
19.38,5.1,0,411708.01,51.84,18.67,2.81,344.44,0.93,1833586.8,0.22,18.88,2.3,1.44,8.34,18.9,19.13,368.79,8.73,6.43,3.97,23.06,3.51,2.59,1.6,2.58,1.9,1.17,0.17,0.59,1.59,0.02,2.74,127128.9,12,2,1,0,0
23.73,6.22,15.29,884588.87,64.33,30.04,4.11,470.19,0.91,2225568.8,0.21,15.81,0.61,0.19,7.1,12.98,13.17,11.35,0.53,-0.1,0.33,12.08,0.19,-0.03,0.11,0.15,-0.03,0.09,0.33,0.56,2.01,0.17,59.32,114020.8,8,0,0,0,0
23.35,0,0,1090000.52,84.32,27.79,4.29,545.53,0.95,2774287.7,0.3,13.4,-2.71,-1.19,3.65,8.67,9.64,-67.87,-3.95,-1.75,-1.7,5.2,-1.28,-0.57,-0.55,-1.05,-0.46,-0.45,0.2,0.64,2.13,0.07,25.93,133606.5,2,3,4,0,0
23.15,15.31,0,1220395.23,20.56,25.29,4.19,123.99,0.95,2774287.7,0.3,11.17,-7.05,-6.88,-1.64,8.54,8.07,-212.21,-13.2,-12.85,-12.82,-3.06,-3.75,-3.65,-3.64,-3.03,-2.95,-2.94,0.16,0.42,2.97,0.04,13.42,175790.2,20,3,0,0,0
22.83,0,0,1484995.42,23.6,26.44,4.27,146.12,0.95,3379715.1,0.33,3.23,-25.29,-16.66,-15.93,9.49,9.5,-899.88,-35.96,-17.81,-34.66,-33.14,-7.94,-3.93,-7.65,-6.08,-3.01,-5.86,0.16,0.43,4.24,0.04,12.71,163767.2,9,5,2,0,0
22.64,0,0,1796528.92,31.51,23.76,4.13,181.23,0.85,4916580.9,0.28,23.78,-13.58,-9.37,-20.78,10.32,10.13,-1617.5,-74.48,-62.88,-25.72,-57.04,-12.47,-10.52,-4.3,-8.66,-7.31,-2.99,0.21,0.51,5.94,0.02,5.1,143909.8,21,3,5,3,0
21.67,0,0,2563768.73,37.86,27.02,4.13,247.39,0.96,5905760.1,0.25,33.62,5.42,3.42,6.53,16.81,16.32,-585.81,-37.99,-43.78,9.98,19.01,-6.67,-7.69,1.75,-4.14,-4.77,1.09,0.35,0.52,3.82,0.01,6.76,150097,7,3,5,0,0
26.43,9.98,0,2708193.4,45.38,23.61,3.73,287.47,0.87,7408899.4,0.24,-13.03,-62.56,-41.63,-51.27,1.91,1.89,-3040.11,-129,-70.26,-116.77,-143.79,-17.76,-9.67,-16.08,-10.29,-5.6,-9.31,0.12,0.2,14.37,0,3.4,149450.8,0,3,3,0,0
54.95,3.62,26,136815.89,46.62,14.7,5.12,133.82,0.58,38800.8,0.52,74.04,19.32,13.45,28.65,14.68,0,30.14,43.5,19.43,19.46,41.43,22.79,10.18,10.2,3.09,1.38,1.38,1.13,1.13,0.95,0.82,1365.28,4380.4,0,3,3,0,0
54.96,15.48,26,137824.31,48.68,14.18,4.62,149.55,0.5,50805.3,0.3,73.87,17.98,12.53,27.13,-3137.32,0,29.64,41.92,17.73,17.74,38.39,23.58,9.97,9.98,3.35,1.42,1.42,2.07,2.07,0.68,1.79,1504,23084.5,0,3,3,0,0
54.96,6.54,26,213695.58,64.27,16.65,5.62,190.33,0.47,60904,0.28,75.43,16.63,11.32,22.6,-3137.32,0,26.14,38.98,16.61,16.91,33.78,23.76,10.12,10.31,3.27,1.39,1.42,1.4,1.4,0.61,1.08,1220.88,5545.4,0,3,3,0,0
54.96,7.41,26,387902.95,112.06,17.33,11.19,173.52,0.42,85305,0.42,74.43,21.28,14.63,27.07,74.81,0,31.87,35.11,16.1,16.12,29.84,21.89,10.04,10.05,3.16,1.45,1.45,1.59,1.59,0.6,1.41,1969.8,5545.4,0,3,3,0,0
52.21,42.44,0,316814.2,101.14,15.69,10.72,148.03,0.4,107411.8,0.25,72.82,23.76,16.03,24.44,13.02,0,31.54,32.92,16.73,16.74,25.52,20.81,10.57,10.58,3.09,1.57,1.57,1.47,1.47,0.57,1.05,1514.05,23084.5,1,4,3,0,0
52.21,3.07,28.45,410327.86,114.59,17.93,8.67,236.9,0.4,107411.8,0.25,74.42,22,15.13,21.45,47.07,0,26.49,32.05,16.25,18.69,26.49,18.95,9.61,11.05,2.88,1.46,1.68,1.09,1.09,0.8,0.58,823.77,72.1,1,4,3,0,0
52.21,0,0,307898.16,108.1,14.26,5.28,292.14,0.39,99046.7,0.5,74.83,23.19,15.99,20.93,13.24,0,26.36,32.99,18.41,20.33,26.61,17.74,9.9,10.94,2.96,1.65,1.82,1.27,1.27,0.91,0.83,886.24,1833,1,4,3,0,0
39.92,0,2.46,453859.73,106.29,21.38,8.1,280.43,0.47,101125,0.27,76.96,25.88,17.18,21.81,16.04,0,28.3,34.35,18.97,21.27,27.01,18,9.94,11.14,3.07,1.69,1.9,1.84,1.84,0.91,1.32,1658.16,1833,1,4,4,0,0
34.64,0,15.21,527694.19,120.58,21.92,8.07,327.58,0.64,105391.1,0.13,76.8,26.67,17.78,22.38,13.02,0,29.34,31.55,17.99,19.37,24.38,17.5,9.98,10.75,3.07,1.75,1.89,2.15,2.15,0.73,1.66,1346.24,23084.5,1,4,4,0,0
34.64,0,0,587767.81,159.54,18.45,6.65,442.41,0.78,136055.1,0.28,77.08,26.25,17.32,21.89,54.74,0,29.19,30.39,17.04,18.26,23.09,15.45,8.66,9.28,3.07,1.72,1.85,1.98,1.98,1.17,1.45,1144.27,23084.5,1,4,4,0,0
51.42,32.63,51.42,452952.26,6.96,29.47,16.64,12.34,0.65,75319.4,-0.22,11.79,10.41,7.17,8.42,10.14,10.14,620.3,54.62,38.91,38.3,44.98,50.65,36.08,35.52,30.11,21.45,21.11,1.58,1.77,0.07,1.33,1.22,117317.5,3,3,4,0,0
52.11,0,52.11,498104.84,8.18,27.97,27.38,8.35,0.65,68921.9,-0.16,12.54,11.05,7.58,8.9,10.89,10.88,656.48,50.87,35.63,35.48,41.61,48.24,33.79,33.65,29.76,20.85,20.75,1.6,1.77,0.04,1.4,4.22,125188.3,3,3,4,0,0
52.06,10.65,52.06,519246.48,8.63,27.6,25.2,9.45,0.56,85202.8,0.14,14.05,12.31,8.86,10.32,12.06,12.08,674.25,50.88,37.82,37.77,44,49.35,36.68,36.63,30.91,22.98,22.95,1.64,1.8,0.02,1.53,6.34,141442.4,5,3,5,0,0
52.02,0,52.02,520768.63,9.19,25.98,20.16,11.84,0.47,95909.1,0.13,17.13,15.94,12.57,13.72,15.51,15.5,999.91,76.24,61.6,61.43,67.06,74.76,60.4,60.24,37.89,30.61,30.53,1.14,1.23,0.02,1.09,46.64,174103.7,6,3,4,0,0
52.55,39.87,52.55,614585.72,9.84,28.93,23.11,12.31,0.46,104019.1,0.03,13.17,11.19,8.97,10.86,12.2,12.22,830.62,76.48,62.91,60.05,72.67,56.85,46.76,44.63,25.48,20.96,20.01,0.82,0.91,0.73,0.79,1.38,211489.7,8,3,4,0,0
52.5,4.78,52.5,886003.97,11.36,36.08,18.74,21.88,0.46,104019.1,0.03,15.36,11.03,9.15,13.06,13.93,13.98,770.53,77.58,65.95,65.64,93.64,50.51,42.94,42.74,27.23,23.15,23.04,0.85,1.01,0.4,0.78,1.21,255450.3,8,3,4,0,0
52.48,0,52.48,1007928.34,13.85,33.66,15.45,30.16,0.37,111980.2,0.32,14,9.6,8.04,12.03,12.48,12.46,619.44,52.99,45.7,45.57,68.17,41.22,35.55,35.45,23.87,20.59,20.53,0.93,1.09,0.18,0.76,2.77,258659.6,8,3,4,0,0
67.25,0,67.25,1305511.62,16.13,37.42,39.85,15.15,0.3,132689.4,0.36,14.4,10.35,7.61,11.36,12.82,12.82,629.13,53.03,40.02,39.77,59.35,47.61,35.93,35.71,26.98,20.37,20.24,0.98,1.16,0.05,0.77,1.72,271935.3,8,3,4,0,0
67.23,0,67.23,1888488.47,16.97,51.43,50.71,17.21,0.41,139419.2,0.52,13.46,11.14,7.98,9.89,11.88,11.9,668.36,54.2,39.66,39.3,48.69,52.96,38.76,38.4,31.86,23.32,23.1,1.01,1.25,0,0.63,2.2,293332.5,8,3,4,0,0
67.21,0,67.21,1881543.2,18.98,45.81,29.96,29.02,0.42,142850,0.48,15.58,14.21,10.13,12.49,14.34,14.34,1043.67,57.28,41.44,41.11,50.69,57.28,41.44,41.11,36.48,26.39,26.18,1.44,1.67,0,1.04,1.79,307286.2,8,3,4,0,0
28.98,0,54.21,384658.59,54.92,27.68,7,217.07,0.61,534561.9,0.33,16.93,15.61,13.3,14.58,13.03,13.16,654.92,74.58,61.14,73.8,80.88,72.71,59.6,71.95,26.4,21.64,26.13,0.25,0.63,0.03,0.12,13.1,131897,1,1,0,0,0
25.61,14.03,26,677075.55,85.77,27.79,5.67,420.62,0.89,844741.9,0.22,16.19,15.1,12.48,13.2,13.6,13.75,863.79,102.39,82.98,92.54,97.85,98.57,79.89,89.09,29.54,23.94,26.7,0.37,0.79,0.06,0.26,5.65,148955.6,1,1,0,0,0
37.38,29.52,48.94,401421.36,80.24,17.59,3.06,461.85,0.97,1017088.2,0.23,14.94,13.63,11.08,12.02,12.99,13.25,1027.28,169.52,134.39,142.68,154.73,147.94,117.28,124.51,38.49,30.52,32.4,0.44,0.89,0.2,0.32,33.72,219491.7,1,1,0,0,0
25.56,0,50.26,778886.97,98.45,27.56,5.13,529.33,0.91,1166914.3,0.29,16.37,14.99,11.58,12.24,14.08,14.1,895.09,114.19,86.34,94.84,100.26,104.68,79.15,86.94,29.28,22.14,24.32,0.62,0.98,0,0.5,42.83,184623.4,1,1,0,0,0
