PROMSHR,PROMPLEDG,FORPROM,Market.Capitalisation,EPS,P.E,P.B,BVS,Beta,TA,Alpha,PBDITAINC,PBTINC,PATINC,CASHPRFINC,PBDITAMARG,OPMARG,OPRFINCOS,PBPTEQ,ROE,RONW,CASHROE,PBPTCE,ROCE,PATCE,PBPTTA,ROTA,PATTA,QR,CR,DE,CASHCL,CASHCOS,TURNOVER,NAT,PVT,FORGN,OTHERS,Target
56.39,33.92,6.57,512974.75,14.3,17.32,3.86,64.1,1.47,320566.6,0.15,80.12,52.94,50.53,52.34,74.81,74.81,255.42,25.42,24.27,24.29,25.16,11.88,11.34,11.35,10.76,10.27,10.28,0.51,0.64,1.21,0.16,221.82,46373.3,8,2,0,0,0
29.94,66.12,0.06,9719.72,7.59,7.52,0.99,57.8,1.43,33277.5,0.19,26.79,11.63,8.21,16.35,22.55,23.32,267.14,25.32,17.55,17.99,35.81,6.28,4.35,4.46,5.71,3.96,4.05,1.54,2.02,3.26,0.84,179.36,19153.1,9,3,0,0,1
32.19,60.03,0.05,10659.61,10.52,5.42,0.81,70.59,1.13,78960.2,0.1,30.28,11.03,7.26,15.49,26.68,27.83,180.96,23.82,16.03,16.18,34.53,5.06,3.41,3.44,4.61,3.1,3.13,1.39,1.96,4.03,0.63,147.7,23528.9,12,3,0,0,1
35.57,63.7,0.05,7540.94,3.07,4.06,0.37,33.29,1.14,91668.5,-0.59,32.08,8.77,5.81,14.93,26.93,30.23,400.45,16.74,11.67,11.82,30.37,3.43,2.39,2.42,3.13,2.18,2.21,1.01,1.66,3.76,0.22,47.63,31541.6,19,3,0,0,1
28.35,90.91,0.09,17489.12,4.13,5.37,0.64,34.48,1.33,121964.3,-0.65,31.04,8.17,5.38,14.66,29.5,31.68,623.63,20.41,14.55,11.06,30.17,4.66,3.32,2.53,4.27,3.05,2.32,1.16,1.93,3.13,0.46,92.28,45208.8,19,3,0,0,1
28.35,68.24,0.09,17449.42,5.13,4.32,0.56,39.32,1.33,142969.7,-0.47,31.72,8.63,5.99,14.73,29.5,30.49,500.19,20.59,13.9,13.91,34.23,4.95,3.34,3.35,4.52,3.05,3.05,0.49,0.95,3.18,0.07,20.97,66335.7,21,3,0,0,1
31.78,73.31,0,16194.88,3.28,5.98,0.49,39.92,1.33,142969.7,-0.47,33.5,6.76,4.02,12.41,27.53,32.04,364.27,18.97,10.46,11.27,34.82,4.36,2.4,2.59,3.93,2.17,2.33,0.46,1.1,3.5,0.12,42.92,92669.8,21,3,0,0,1
34.16,98.75,0,11292.35,6.64,1.23,0.24,34.6,1.39,183341.8,-0.33,29.68,6.73,4.4,12,25.39,28.49,494.85,32.51,17.85,18.08,49.3,7.83,4.3,4.36,6.42,3.53,3.57,0.58,1.3,3.15,0.08,20.05,205581.2,21,3,0,0,1
38.48,99.46,0,8951.25,2.27,2.87,0.17,38.61,1.7,257494.9,-0.47,24.19,2.46,1.54,8.87,29.25,23.46,302.41,11.91,6.39,6.44,37.22,3.08,1.65,1.66,2.19,1.18,1.19,0.64,1.41,2.87,0.05,12.4,225003.1,21,4,5,7,1
38.17,99.76,0,10192.15,1.68,4.42,0.19,39.32,1.92,294305.4,-0.51,24.19,2.46,1.54,8.87,29.25,23.46,302.41,11.91,6.39,6.44,37.22,3.08,1.65,1.66,2.19,1.18,1.19,0.64,1.41,2.87,0.05,12.4,225003.1,21,4,5,7,1
37.02,94.17,0,6225.48,-31.02,12.03,0.1,46.83,2.01,367956,-0.61,10.43,-51.42,-34.35,-14.48,8.67,8.26,-1478.82,-47.64,-72.14,-71.01,-29.94,-11.68,-17.69,-17.41,-8.52,-12.9,-12.7,0.52,1.06,3.26,0.01,4.2,119522,3,0,0,0,1
32.34,0,52.55,47070.78,15.56,23.7,3.05,120.92,0.47,31417,0.65,34.48,26.93,19.72,29.38,29.41,29.86,423.72,21.21,15.6,15.71,23.4,10.76,7.91,7.97,10.02,7.37,7.43,2.16,2.77,0.76,1.57,168.39,11168.9,3,0,0,0,1
34.25,24.81,58.48,36073.1,17.54,14.58,1.59,160.75,0.72,32215.3,0.41,33.69,24.7,18.34,25.12,25.35,26.36,300.13,15.43,12.39,12.8,17.54,8.2,6.59,6.8,7.68,6.17,6.37,4.64,5.59,0.97,3.63,323.07,12827,3,0,0,0,1
34.25,29.52,48.83,10447.59,11.05,6.7,0.43,171.7,0.9,49883,-0.04,33.89,17.38,12.74,23.17,24.86,24.92,227,4.65,6.01,6.1,11.1,2.18,2.81,2.85,2.05,2.65,2.69,2.69,3.6,1.29,1.85,262.58,10524.5,3,0,0,0,1
28.98,0,56.21,37416.01,8.65,22.43,1.1,176.77,0.88,63135.8,-0.06,34.53,14.09,10.04,21.74,26.74,27.02,290.76,2.55,4.07,4.43,9.6,1.32,2.1,2.29,1.24,1.98,2.15,2.4,3.36,0.7,1.57,207.8,12777,3,0,0,0,1
32.58,91.38,0,32650.8,9.18,16.44,0.8,188.71,0.91,69872.7,-0.25,23.87,6.79,4.17,13.66,31.34,31.76,15317.29,6.71,6.61,2.01,6.59,3.87,3.81,1.16,3.64,3.59,1.09,2.47,4.53,0.77,1.64,205.25,19131.8,3,0,0,0,1
38.68,47.32,22.17,29486.46,11.77,11.24,0.69,192.43,0.91,79802.6,-0.25,33.22,16.7,11.88,20.51,28.78,29.11,22.79,6.18,6.76,6.74,11.64,3.36,3.67,3.66,3.04,3.32,3.31,0.41,1.05,0.91,0.15,62.1,23106.6,3,0,0,0,1
44.55,0,52.55,13959.13,13.06,4.89,0.31,205.04,0.98,96206.1,-0.26,34.38,17.24,13.59,23.8,27.64,27.93,649.22,7.08,5.58,9.82,17.19,3.26,2.57,4.52,2.98,2.35,4.13,0.8,1.31,1.41,0.42,95.35,30193.8,3,0,0,0,1
49.36,0,52.06,34804.9,12.14,13.11,0.7,226.91,0.93,121895.6,0.19,31.17,11.8,8.08,20.03,30.07,30.32,1723.22,9.04,6.41,6.51,16.13,3.67,2.6,2.64,3.45,2.44,2.48,0.38,0.78,1.52,0.08,26.46,39506.8,3,0,0,0,1
48.98,0,52.02,31979.15,7.98,18.18,0.6,242.11,1.25,138592.2,-0.12,28.65,-4.76,-2.94,8.6,21.78,25.17,-2636.22,-6.98,-5.45,-2.26,6.61,-2.61,-2.04,-0.85,-2.35,-1.84,-0.76,0.22,0.66,1.83,0.02,6.72,37475.8,3,0,0,0,1
49.98,5.13,0,6821.33,-49.36,10.87,0.16,195.63,1.67,164518.4,-0.47,16.94,-69.82,-48.85,-25.89,19.19,19.71,-76372.13,-19.65,-14.67,-15.57,-8.25,-6.56,-4.9,-5.2,-5.67,-4.24,-4.49,0.18,0.53,2.18,0.02,13.36,15078.7,3,0,0,0,1
47.82,0,42.27,73359.45,22.61,33.83,8.91,85.82,0.32,12947.9,0.39,13.76,12.04,7.95,9.24,12.59,12.86,2320.72,57.88,39.21,39.82,46.3,51.14,34.64,35.18,27.71,18.77,19.06,0.59,1.23,0.14,0.18,5.16,33880.6,16,3,1,0,0
49.47,3.62,54.21,115098.94,39.23,30.59,12.4,96.8,0.36,30133.7,0.47,14.99,13.55,9.05,10.36,13.88,13.99,1801.78,65.22,45,44.86,51.35,58.72,40.52,40.4,23.85,16.46,16.41,0.83,1.11,0.08,0.16,4.22,40946.7,6,3,1,0,0
